russell_crowe_gladiator_character	 russell crowe gladiator character
the_notebook	 the notebook
denzel_washington	 denzel washington
casablanca	 casablanca
henry_fonda_yours_mine_ours_character	 henry fonda yours mine ours character
rocky_stallone	 rocky stallone
morgan_freeman	 morgan freeman
darth_vader_movie	 darth vader movie
wizard_of_oz	 wizard of oz
indiana_jones_last_crusade_lost_ark	 indiana jones last crusade lost ark
audrey_hepburn_1951	 audrey hepburn 1951
will_smith	 will smith
tom_hanks	 tom hanks
rick_blaine_movie	 rick blaine movie
jack_ryan_actor	 jack ryan actor
hamill_skywalker_movie	 hamill skywalker movie
indiana_jones_movie	 indiana jones movie
the_princess_bride	 the princess bride
the_sound_of_music	 the sound of music
tom_hanks_2004	 tom hanks 2004
star_wars	 star wars
julia_roberts	 julia roberts
the_godfather	 the godfather
toto_i've_a_feeling_we're_not_in_kansas_anymore	 toto i've a feeling we're not in kansas anymore
johnny_depp	 johnny depp
forrest_gump	 forrest gump
gone_with_the_wind	 gone with the wind
harrison_ford	 harrison ford
frankly_my_dear_i_don't_give_a_damn	 frankly my dear i don't give a damn
clint_eastwood	 clint eastwood
terminator_actor	 terminator actor
john_wayne	 john wayne
norman_bates_movie	 norman bates movie
harrison_ford_george_lucas	 harrison ford george lucas
i'm_gonna_make_him_an_offer_he_can't_refuse	 i'm gonna make him an offer he can't refuse
atticus_finch_movie	 atticus finch movie
lord_of_the_rings	 lord of the rings
will_kane_movie	 will kane movie
you_don't_understand_i_coulda_had_class_i_coulda_been_a_contender_i_coulda_been_somebody_instead_of_a_bum_which_is_what_i_am	 you don't understand i coulda had class i coulda been a contender i coulda been somebody instead of a bum which is what i am
angelina_jolie	 angelina jolie
brent_spiner_star_trek_character	 brent spiner star trek character
nurse_ratched_movie	 nurse ratched movie
here's_looking_at_you_kid	 here's looking at you kid
dean_jones_herbie	 dean jones herbie
the_wicked_witch_of_the_west_movie	 the wicked witch of the west movie
james_bond_movie	 james bond movie
dr._hannibal_lecter_movie	 dr. hannibal lecter movie
sean_connery_fleming	 sean connery fleming
jacques_clouseau_actor	 jacques clouseau actor
reeves_wachowski	 reeves wachowski
